group,context,target,condition,primetype,expected
A,foggy,FOG,transparent,related,f
A,dreadful,DREAD,transparent,related,f
A,joyful,JOY,transparent,related,f
A,erupted,DIP,transparent,unrelated,f
A,avoiding,CLUE,transparent,unrelated,f
A,hunted,SPY,transparent,unrelated,f
A,belly,BELL,opaque,related,f
A,ladder,LAD,opaque,related,f
A,wander,WAND,opaque,related,f
B,masses,HAM,opaque,unrelated,f
B,saying,MAT,opaque,unrelated,f
B,eluded,RUST,opaque,unrelated,f
B,obesity,WAB,nw_fillers,unrelated,j
B,pompous,CAG,nw_fillers,unrelated,j
B,forging,KAM,nw_fillers,unrelated,j
B,melodic,VAR,nw_fillers,unrelated,j
B,refunds,MAB,nw_fillers,unrelated,j
B,pledged,PAG,nw_fillers,unrelated,j
С,tagging,TAG,transparent,related,f
С,lawful,LAW,transparent,related,f
С,aiming,AIM,transparent,related,f
С,lodging,PAD,transparent,unrelated,f
С,courting,BONE,transparent,unrelated,f
С,rotating,HARM,transparent,unrelated,f
С,luster,LUST,opaque,related,f
С,pigment,PIG,opaque,related,f
С,earnest,EARN,opaque,related,f
D,ranges,ARCH,opaque,unrelated,f
D,openly,TEND,opaque,unrelated,f
D,tasted,KIT,opaque,unrelated,f
D,endowed,HAN,nw_fillers,unrelated,j
D,statues,VAP,nw_fillers,unrelated,j
D,brushes,MAZ,nw_fillers,unrelated,j
D,pithces,NAT,nw_fillers,unrelated,j
D,collars,MUP,nw_fillers,unrelated,j
D,regimes,MOG,nw_fillers,unrelated,j
